Drug Take-Back Site,Address,City,State,Zip Code,County,Phone Number,Hours of Availability,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Attention,Grant Owned,Box Status,Status
Emporium Police Dept.,421 North Broad Street,Emporium,PA,15834,Cameron,(814)486-3384,"M-F 8am-4pm, except holidays.","421 North Broad Street
Emporium, PA 15834
(41.51234, -78.23782)",POINT (-78.2379095 41.5117478),41.5117478,-78.2379095,Sgt. Matthew D. Siple,Yes,Operational,Active
Chester Township Police Department,1840 Harris Street,Chester,PA,19013,Delaware,,Please contact location,"1840 Harris Street
Chester, PA 19013
(39.84543, -75.38899)",POINT (-75.3928704 39.8446042),39.8446042,-75.3928704,,No,Operational,Active
Walgreens Pharmacy (Brookhaven Area),4098 EDGMONT AVE,Brookhaven,PA,19015,Delaware,(610) 876-8815,,"4098 EDGMONT AVE
Brookhaven, PA 19015
(39.87222, -75.3882)",POINT (-75.387944 39.872018),39.872018,-75.387944,,No,Pharmacy,Active
City of Greensburg Police Dept.,416 S. Main Street,Greensburg,PA,15601,Westmoreland,(724)838-4324,24 hours/7 days a week.,"416 S. Main Street
Greensburg, PA 15601
(40.29879, -79.54327)",POINT (-79.5434771 40.2988975),40.2988975,-79.5434771,Chief Walter J. Lyons,Yes,Operational,Active
Hampden Township Police Dept.,230 S. Sporting Hill Road,Mechanicsburg,PA,17050,Cumberland,(717)761-2609,"M-F 8am-4pm, Sat 8am-Noon.","230 S. Sporting Hill Road
Mechanicsburg, PA 17050
(40.23198, -76.97249)",POINT (-76.9715881 40.236082),40.236082,-76.9715881,,No,Operational,Active
New Hope Borough Police,125 New Street,New Hope,PA,18938,Bucks,(215)862-3033,,"125 New Street
New Hope, PA 18938
(40.36114, -74.95234)",POINT (-74.9506807 40.3596349),40.3596349,-74.9506807,,No,Operational,Active
Doylestown Hospital Emergency Room Lobby,595 West State Street,Doylestown,PA,18901,Bucks,,Open 24 hours,"595 West State Street
Doylestown, PA 18901
(40.30548, -75.14701)",POINT (-75.1465981 40.3067939),40.3067939,-75.1465981,,No,active,Active
Hilltown Township Police,13 West Creamery Road,Hilltown,PA,18927,Bucks,(215)453-6000,M-F 7:30-4:30,"13 West Creamery Road
Hilltown, PA 18927
(40.3422, -75.25595)",POINT (-75.2570905 40.3417682),40.3417682,-75.2570905,,No,Operational,Active
Buckingham Township Police (Lower Level),4613 Hughesian Drive,Buckingham,PA,18912,Bucks,(215)794-8812,,"4613 Hughesian Drive
Buckingham, PA 18912
(40.32214, -75.06099)",POINT (-75.0608012 40.3220478),40.3220478,-75.0608012,,No,Operational,Active
Walgreens Pharmacy (Philadelphia - Center city area),1 S BROAD ST,Philadelphia,PA,19107,Philadelphia,(267) 330-0290,,"1 S BROAD ST
Philadelphia, PA 19107
(39.95109, -75.1639)",POINT (-75.163522 39.951184),39.951184,-75.163522,,No,Pharmacy,Active
CVS #1642,406 E. MAIN ST.,WAYNESBORO,PA,17268,"FRANKLIN,PA",7177621126,Follows Pharmacy Hours of Operation,"406 E. MAIN ST.
WAYNESBORO, PA 17268
(39.75179, -77.57042)",POINT (-77.571524 39.75179),39.75179,-77.571524,,No,Pharmacy,Active
Lycoming County Sheriff's Dept.,48 West Third Street,Williamsport,PA,17701-6536,Lycoming,(570)327-2280,M-F 8:30-5,"48 West Third Street
Williamsport, PA 17701-6536
(41.24057, -77.00218)",POINT (-77.0019324 41.2406851),41.2406851,-77.0019324,Sheriff Mark Lusk,Yes,Operational,Active
Monroeville Police Dept.,2700 Monroeville Boulevard,Monroeville,PA,15146,Allegheny,(412)343-3400,,"2700 Monroeville Boulevard
Monroeville, PA 15146
(40.43655, -79.78005)",POINT (-79.779695 40.435882),40.435882,-79.779695,Cpl. Mark A. Kandrack,Yes,,Active
Tulpehocken Twp. Police Department,22 Rehrersburg Road,Rehrersburg,PA,19550,Berks,(717)933-5033,Monday to Thursday 8am – 3pm,"22 Rehrersburg Road
Rehrersburg, PA 19550
(40.45537, -76.23929)",POINT (-76.2298207 40.4645632),40.4645632,-76.2298207,Chief Kris Kerschner,No,Operational,Active
ST MARGARET MEMORIAL HOSPITAL,815 FREEPORT RD,PITTSBURGH,PA,15215,Allegheny,,,"815 FREEPORT RD
PITTSBURGH, PA 15215
(40.48967, -79.89586)",POINT (-79.896111 40.489138),40.489138,-79.896111,,No,Pharmacy,Active
LATROBE HOSPITAL ASSN (Pharmacy),ONE MELLON WAY,LATROBE,PA,15650,Westmoreland,,,"ONE MELLON WAY
LATROBE, PA 15650
(40.32025, -79.39362)",POINT (-79.394584 40.320996),40.320996,-79.394584,,No,Pharmacy,Active
Weis Market (Mifflinburg),65 Meadow Green Dr,Mifflinburg,PA,17844,Union,570) 966-6500,7:00am - 9:00pm; Mon - Fri,"65 Meadow Green Dr
Mifflinburg, PA 17844
(40.92416, -77.03235)",POINT (-77.0311141 40.9240018),40.9240018,-77.0311141,,No,active,Active
Slate Belt Regional Police Dept.,6292 Sullivan Trail Road,Nazareth,PA,18064,Northampton,(610)759-8517,,"6292 Sullivan Trail Road
Nazareth, PA 18064
(40.80792, -75.28739)",POINT (-75.309624 40.740375),40.740375,-75.309624,Chief David Mettin,Yes,Operational,Active
Northumberland County Sheriff's Office,201 Market Street,Sunbury,PA,17801,Northumberland,5709884155,,"201 Market Street
Sunbury, PA 17801
(40.8621, -76.79456)",POINT (-76.7948881 40.8621382),40.8621382,-76.7948881,Acting Sheriff Robert Wolfe,Yes,Operational,Active
State Police-Troop F / Montoursville,899 Cherry St.,Montoursville,PA,17754-2009,Lycoming,,,"899 Cherry St.
Montoursville, PA 17754-2009
(41.24908, -76.91361)",POINT (-76.913503 41.249446),41.249446,-76.913503,,No,,Active
State Police-Troop M / Bethlehem,2930 Airport Rd.,Bethlehem,PA,18017-2149,Lehigh,,,"2930 Airport Rd.
Bethlehem, PA 18017-2149
(40.64795, -75.428)",POINT (-75.429248 40.647751),40.647751,-75.429248,,No,,Active
Canonsburg Police Dept.,68 East Pike Street,Canonsburg,PA,15317,Washington,(724)745-8020,M-F 8-12/ 1-4,"68 East Pike Street
Canonsburg, PA 15317
(40.25917, -80.18468)",POINT (-80.1848399 40.2588002),40.2588002,-80.1848399,Chief R.T. Bell,Yes,Operational,Active
Valley Township Police Department,890 West Lincoln Highway,Coatesville,PA,19320,Chester,(610)384-8133,Monday -Friday 8 a.m. to 4:30 p.m.,"890 West Lincoln Highway
Coatesville, PA 19320
(39.98401, -75.84564)",POINT (-75.8456439 39.984006),39.984006,-75.8456439,,No,Operational,Active
Eastern Pike Regional Police Dept.,10 Avenue I,Matamoras,PA,18336,Pike,(570)491-4700,M-F 8-4,"10 Avenue I
Matamoras, PA 18336
(41.37115, -74.70016)",POINT (-74.7051401 41.3727086),41.3727086,-74.7051401,Chief Chad Stewart,Yes,Operational,Active
York City Police Dept.,50 West King Street,York,PA,17401,York,(717) 846-1234,M-F 6 am-1030 pm; call for weekend hours,"50 West King Street
York, PA 17401
(39.96057, -76.72861)",POINT (-76.72853 39.960391),39.960391,-76.72853,,No,Operational,Active
Limerick Township Police Department,646 West Ridge Pike,Limerick,PA,19468,Montgomery,(610)495-7909,M-F 8:30-4,"646 West Ridge Pike
Limerick, PA 19468
(40.23951, -75.54054)",POINT (-75.5407408 40.2397459),40.2397459,-75.5407408,Chief William J Albany,No,Operational,Active
Lancaster County Sheriff's Dept.,50 North Duke Street,Lancaster,PA,17603,Lancaster,(717)299-8200,M-F 8am-5pm.,"50 North Duke Street
Lancaster, PA 17603
(40.03919, -76.30382)",POINT (-76.3041779 40.0393),40.0393,-76.3041779,Sheriff Mark Reese,Yes,Operational,Active
Seward Borough Police Dept.,233 Indiana Street,Seward,PA,15954-0456,Westmoreland,(814)446-6164,,"233 Indiana Street
Seward, PA 15954-0456
(40.41517, -79.02318)",POINT (-79.023129 40.4154539),40.4154539,-79.023129,"Chief Robert D. Malnofsky, Jr.",Yes,Operational,Active
Weis Markets (Lewisburg),6901 Westbranch Hwy,Lewisburg,PA,17837,Union,(570) 524-2915,7:00am - 9:00pm; Mon - Fri,"6901 Westbranch Hwy
Lewisburg, PA 17837
(40.9749, -76.89192)",POINT (-76.887726 40.976506),40.976506,-76.887726,,No,active,Active
State Police-Troop P / Tunkhannock,6039 SR,Tunkhannock,PA,18657-6148,Wyoming,,,"6039 SR
Tunkhannock, PA 18657-6148
(41.57904, -75.97295)",POINT (-75.954221 41.541868),41.541868,-75.954221,,No,,Active
Sunbury Police Dept.,440 Market Street,Sunbury,PA,17801,Northumberland,(570)286-4584,M-F 8-4,"440 Market Street
Sunbury, PA 17801
(40.86082, -76.7899)",POINT (-76.7899477 40.8608504),40.8608504,-76.7899477,Chief Stephen A. Mazzeo,Yes,Operational,Active
Middletown Township Police,3 Municipal Way,Langhorne,PA,19047,Bucks,(215)750-3845,M-F 8:30-4:30,"3 Municipal Way
Langhorne, PA 19047
(40.18294, -74.90674)",POINT (-74.9066919 40.182818),40.182818,-74.9066919,,No,Operational,Active
Giant Eagle Pharmacy #4093,2501 West 12th St.,Erie,PA,16505,Erie,(814) 838-7710,Pharmacy Hours,"2501 West 12th St.
Erie, PA 16505
(42.10103, -80.13395)",POINT (-80.135246 42.103097),42.103097,-80.135246,,No,Pharmacy,Active
Philadelphia Police Dept.-22nd Police District,17th & Montgomery Avenue,Philadelphia,PA,19121,Philadelphia,(215)686-3220,,"17th & Montgomery Avenue
Philadelphia, PA 19121
(39.97686, -75.13197)",POINT (-75.162371 39.980836),39.980836,-75.162371,Capt. Roland Lee,Yes,Operational,Active
Lower Merion Township Police Department,71 East Lancaster Ave.,Ardmore,PA,19003-2323,Montgomery,(610)649-1000,M-F 7:30-5:00,"71 East Lancaster Ave.
Ardmore, PA 19003-2323
(40.00694, -75.28824)",POINT (-75.2880319 40.0069382),40.0069382,-75.2880319,Superintendent Michael J McGrath,No,Operational,Active
West Norriton Police Dept.,1630 W. Marshall Street,Norristown,PA,19403,Montgomery,(610)630-1701,,"1630 W. Marshall Street
Norristown, PA 19403
(40.12871, -75.36503)",POINT (-75.364735 40.129026),40.129026,-75.364735,Chief Dale Mabry,Yes,Unknown,Active
Ralpho Township Police Dept.,"206 South Market St., Suite 4",Elysburg,PA,17824,Northumberland,(570)672-9892,,"206 South Market St., Suite 4
Elysburg, PA 17824
(40.8621, -76.54997)",POINT (-76.543191 40.854944),40.854944,-76.543191,Chief Stuart Appel,Yes,,Active
Northern Bedford Pharmacy,3499 Brumbaugh Rd,New Enterprise,PA,16664,Bedford,814-766-0124,M-F 8-6 / Sat 9-2 / closed Sundays and holidays,"3499 Brumbaugh Rd
New Enterprise, PA 16664
(40.16999, -78.41674)",POINT (-78.415449 40.169732),40.169732,-78.415449,Joe Breton,No,Pharmacy,Active
Solebury Township Police,3092 Sugan Road,Solebury,PA,18963,Bucks,(215)297-8201,,"3092 Sugan Road
Solebury, PA 18963
(40.38296, -75.01184)",POINT (-74.9764 40.367631),40.367631,-74.9764,,No,Operational,Active
Mercyhurst University Main Police,501 E 38th St,Erie,PA,16546,Erie,(814)824-2304,Please contact location,"501 E 38th St
Erie, PA 16546
(42.10545, -80.05517)",POINT (-80.0524301 42.1039014),42.1039014,-80.0524301,,No,Operational,Active
State Police-Troop N / Hazleton,250 Dessen Dr.,West Hazleton,PA,18202,Luzerne,,,"250 Dessen Dr.
West Hazleton, PA 18202
(40.97736, -76.02578)",POINT (-75.429248 40.647751),40.647751,-75.429248,,No,,Active
Washington Township Police,13013 Welty Rd,Waynesboro,PA,17268,Franklin,(717) 762-1145,,"13013 Welty Rd
Waynesboro, PA 17268
(39.74349, -77.55664)",POINT (-77.556725 39.743346),39.743346,-77.556725,,No,,Active
City of Arnold Police Dept.,601 Drey Street,Arnold,PA,15068,Westmoreland,(724)339-9663,24/7,"601 Drey Street
Arnold, PA 15068
(40.57999, -79.7679)",POINT (-79.767645 40.580166),40.580166,-79.767645,Chief William W. Weber,Yes,Operational,Active
Borough of Coopersburg Police Dept.,5 North Main Street,Coopersburg,PA,18036,Lehigh,(610)282-1444,M-F 8am-4:00pm and by appointment,"5 North Main Street
Coopersburg, PA 18036
(40.51157, -75.39076)",POINT (-75.3907959 40.5114229),40.5114229,-75.3907959,Chief Anthony Struss,Yes,Operational,Active
Apollo Borough Police Dept.,616D First Street,Apollo,PA,15613,Armstrong,(724)478-4201,,"616D First Street
Apollo, PA 15613
(40.58362, -79.55956)",POINT (-79.559722 40.583625),40.583625,-79.559722,Sgt. Jarred Kier,Yes,,Active
Corry City Police Department,20 E South St,Corry,PA,16407,Erie,(814)664-2222,M-F 8-4,"20 E South St
Corry, PA 16407
(41.91976, -79.63925)",POINT (-79.6392353 41.9197597),41.9197597,-79.6392353,,No,Operational,Active
CVS #1731,3811 NESHAMINY BLVD.,BENSALEM,PA,19020,"BUCKS,PA",2153965690,Follows Pharmacy Hours of Operation,"3811 NESHAMINY BLVD.
BENSALEM, PA 19020
(40.13564, -74.95492)",POINT (-74.954798 40.135397),40.135397,-74.954798,,No,Pharmacy,Active
West Caln Township Police Department,721 W Kings Highway,Coatesville,PA,19320,Chester,(610)384-3115,Monday-Friday 8 a.m. to 4 p.m.,"721 W Kings Highway
Coatesville, PA 19320
(40.01067, -75.86775)",POINT (-75.867754 40.011003),40.011003,-75.867754,,No,Operational,Active
Bradford Township Police Dept.,136 Hemlock Street,Bradford,PA,16701,McKean,(814)368-3564,,"136 Hemlock Street
Bradford, PA 16701
(41.93061, -78.65198)",POINT (-78.652039 41.931442),41.931442,-78.652039,Chief Robert C. Shipman,Yes,,Active
Borough of Steelton Police Dept.,123 North Front Street,Steelton,PA,17101,Dauphin,(717)939-9841,M-F 8am-4:30pm.,"123 North Front Street
Steelton, PA 17101
(40.23544, -76.8418)",POINT (-76.88506 40.2598345),40.2598345,-76.88506,Chief Scott Spangler,Yes,Operational,Active
CVS #1178,702 CHESTNUT ST.,EMMAUS,PA,18049,"LEHIGH,PA",6109655980,Follows Pharmacy Hours of Operation,"702 CHESTNUT ST.
EMMAUS, PA 18049
(40.53149, -75.49912)",POINT (-75.498871 40.531659),40.531659,-75.498871,,No,Pharmacy,Active
East Lampeter Twp. Police Dept.,2250 Old Philadelphia Pike,Lancaster,PA,17602,Lancaster,(717)291-4676,M-F 8am-4pm,"2250 Old Philadelphia Pike
Lancaster, PA 17602
(40.03918, -76.21954)",POINT (-76.2206227 40.0381056),40.0381056,-76.2206227,Chief John Bowman,Yes,Operational,Active
State Police-Troop F / Coudersport,3140 E Second St.,Coudersport,PA,16915,Potter,,,"3140 E Second St.
Coudersport, PA 16915
(41.76775, -77.87504)",POINT (-77.974001 41.766316),41.766316,-77.974001,,No,,Active
Marcus Hook Borough Police Department,1013 Green Street,Marcus Hook,PA,19060,Delaware,,Please contact location,"1013 Green Street
Marcus Hook, PA 19060
(39.81941, -75.41889)",POINT (-75.418693 39.8194502),39.8194502,-75.418693,,No,Operational,Active
Westmoreland County Park Police,2 North Main Street,Greensburg,PA,15601,Westmoreland,(724)830-3469,24 hours/7days a week.,"2 North Main Street
Greensburg, PA 15601
(40.30298, -79.54445)",POINT (-79.5452777 40.303166),40.303166,-79.5452777,Chief Nicholas S. Caesar,Yes,Operational,Active
New Britain Township Police,207 Park Avenue,Chalfont,PA,18914,Bucks,(215)822-1910,M-F 8-4 and by appt afterwards,"207 Park Avenue
Chalfont, PA 18914
(40.29648, -75.20367)",POINT (-75.2042579 40.2953687),40.2953687,-75.2042579,,No,Operational,Active
Hyde Drug Store,112 N. Liberty St,New Castle,PA,16102,Lawrence,724-652-1451,Open Monday thru Friday 8-6. Saturday 9-4 and Sunday 9-1,"112 N. Liberty St
New Castle, PA 16102
(40.97354, -80.37471)",POINT (-80.374488 40.973441),40.973441,-80.374488,George or Spero Stefanis - Pharmacists,No,Pharmacy,Active
Ridley Township Police Department,100 E. MacDade Blvd,Folsom,PA,19033,Delaware,(610)532-4000,24 hours a day/ 7 days a week,"100 E. MacDade Blvd
Folsom, PA 19033
(39.88623, -75.32977)",POINT (-75.3293279 39.8862899),39.8862899,-75.3293279,,No,Operational,Active
Cambria Co. Sheriff's Dept.,200 South Center Street,Ebensburg,PA,15931,Cambria,(814)472-1691,M-F 9am-4pm; call for weekend hours.,"200 South Center Street
Ebensburg, PA 15931
(40.48385, -78.72501)",POINT (-78.7248064 40.4864078),40.4864078,-78.7248064,Sheriff Bob Kolar,Yes,Operational,Active
Carrolltown Borough Police Department,132 East Carroll Street,Carrolltown,PA,15722,Cambria,,,"132 East Carroll Street
Carrolltown, PA 15722
(40.60282, -78.70732)",POINT (-78.705783 40.60303),40.60303,-78.705783,,No,,Active
"CVS PHARMACY, L.L.C. # 04270 (BRADFORD)",10 DAVIS ST,BRADFORD,PA,16701,McKean,,,"10 DAVIS ST
BRADFORD, PA 16701
(41.95677, -78.6451)",POINT (-78.644528 41.956857),41.956857,-78.644528,,No,Pharmacy,Active
CVS #7838,1149 BEN FRANKLIN HWY. WEST,DOUGLASSVILLE,PA,19518,"BERKS,PA",6103854300,Follows Pharmacy Hours of Operation,"1149 BEN FRANKLIN HWY. WEST
DOUGLASSVILLE, PA 19518
(40.26148, -75.72938)",POINT (-75.729381 40.26178),40.26178,-75.729381,,No,Pharmacy,Active
Gettysburg Borough Police Department,59 East High Street,Gettysburg,PA,17325,Adams,(717) 334-1168,"8:00 am—4:30 pm, Monday thru Friday","59 East High Street
Gettysburg, PA 17325
(39.82857, -77.2297)",POINT (-77.229622 39.828316),39.828316,-77.229622,,No,Operational,Active
Mount Joy Borough Police Department,21 E Main St,Mount Joy,PA,17552,Lancaster,717) 653-1650,,"21 E Main St
Mount Joy, PA 17552
(40.10969, -76.50229)",POINT (-76.50221 40.11002),40.11002,-76.50221,,No,,Active
Walgreens Pharmacy (Glenolden Location),150 N. Macdade Blvd.,Glenolden,PA,19036,Delaware,610–586–5224,,"150 N. Macdade Blvd.
Glenolden, PA 19036
(39.90713, -75.2876)",POINT (-75.287621 39.907728),39.907728,-75.287621,,Yes,,Active
Greene County Sheriff's Department,10 E High St Ste 106,Waynesburg,PA,15370,Greene,(724) 852-5218,,"10 E High St Ste 106
Waynesburg, PA 15370
(39.89647, -80.18652)",POINT (-80.186666 39.896425),39.896425,-80.186666,,No,,Active
Charleroi Regional Police Dept.,338 Fallowfield Avenue,Charleroi,PA,15022,Washington,(724)483-3418,M-F 8-4,"338 Fallowfield Avenue
Charleroi, PA 15022
(40.1369, -79.89703)",POINT (-79.8967019 40.1368841),40.1368841,-79.8967019,Chief Mike Matyas,Yes,Operational,Active
Millersburg Police Dept.,101 West Street,Millersburg,PA,17061,Dauphin,(717)692-2323,M-F 8am-3pm,"101 West Street
Millersburg, PA 17061
(40.53791, -76.9616)",POINT (-76.9614302 40.537387),40.537387,-76.9614302,Cpl. Daniel A. Wise,Yes,Operational,Active
Hershey Medical Center Campus Cancer Institute,400 University Dr,Hershey,PA,17033,Dauphin,(717) 531-6585,,"400 University Dr
Hershey, PA 17033
(40.26458, -76.67401)",POINT (-76.6745351 40.2706647),40.2706647,-76.6745351,,No,,Active
Butler City Police Dept.,200 West New Castle Street,Butler,PA,16001,Butler,(724)287-7743,24 hours/7 days a week.,"200 West New Castle Street
Butler, PA 16001
(40.8617, -79.89751)",POINT (-79.8968251 40.8617197),40.8617197,-79.8968251,Chief Ronald D. Fierst,Yes,Operational,Active
Franconia Township Police Department,671 Allentown Road,Telford,PA,18969,Montgomery,(215)723-6777,M-F 8-5,"671 Allentown Road
Telford, PA 18969
(40.3144, -75.36625)",POINT (-75.36587 40.314387),40.314387,-75.36587,Chief Joseph Kozeniewski,No,Operational,Active
Spring Twp. Police Department,2800 Shillington Road,Sinking Spring,PA,19608,Berks,(610)678-3431,Monday to Friday 8am – 4:30pm,"2800 Shillington Road
Sinking Spring, PA 19608
(40.31799, -76.00566)",POINT (-76.0056369 40.3178259),40.3178259,-76.0056369,Chief Michael Messner,No,Operational,Active
Parkesburg Borough Police Dept.,"315 West First Ave., Build. II",Parkesburg,PA,19365,Chester,(610)857-3535,M-F 8-4,"315 West First Ave., Build. II
Parkesburg, PA 19365
(39.95965, -75.91756)",POINT (-75.9168482 39.9594013),39.9594013,-75.9168482,Sgt. Rick Moran,Yes,Operational,Active
CVS #4077,975 ROSTRAVER RD.,BELLE VERNON,PA,15012,"WESTMORELAND,PA",7249299155,Follows Pharmacy Hours of Operation,"975 ROSTRAVER RD.
BELLE VERNON, PA 15012
(40.13973, -79.84257)",POINT (-79.843003 40.139666),40.139666,-79.843003,,No,Pharmacy,Active
Upper Burrell Township Police Dept.,3735 Seventh Street,New Kensington,PA,15068,Westmoreland,(724)335-0664,During regular busy hours or by appointment,"3735 Seventh Street
New Kensington, PA 15068
(40.55348, -79.68904)",POINT (-79.7308886 40.5691527),40.5691527,-79.7308886,Chief Kenneth Pate,Yes,Operational,Active
Penndel Borough Police,300 S. Bellevue Ave.,Penndel,PA,19047,Bucks,(215)757-5152,,"300 S. Bellevue Ave.
Penndel, PA 19047
(40.1737, -74.91917)",POINT (-74.919522 40.174344),40.174344,-74.919522,,No,Operational,Active
Sloan’s Mount Joy Pharmacy,61 E Main St,Mount Joy,PA,17552,Lancaster,,,"61 E Main St
Mount Joy, PA 17552
(40.10972, -76.50052)",POINT (-76.500474 40.109615),40.109615,-76.500474,,Yes,,Active
Tilden Twp. Police Department,870 Hex Highway,Hamburg,PA,19526,Berks,(610)562-9001,"Monday to Friday 7am-10pm, Sunday 12pm -8pm","870 Hex Highway
Hamburg, PA 19526
(40.53896, -76.01698)",POINT (-76.0197728 40.5380941),40.5380941,-76.0197728,,No,Operational,Active
State Police-Troop C / Clarion,209 Commerce Rd.,Clarion,PA,16214,Clarion,,,"209 Commerce Rd.
Clarion, PA 16214
(41.18324, -79.39586)",POINT (-79.395985 41.182792),41.182792,-79.395985,,No,,Active
Mt. Pleasant Police Dept.,"Box 119, Etze Avenue",Mt. Pleasant,PA,15666,Westmoreland,(724)547-7210,24/7,"Box 119, Etze Avenue
Mt. Pleasant, PA 15666
(40.14964, -79.54634)",POINT (-79.5411497 40.1489607),40.1489607,-79.5411497,Chief Stephen Ober,Yes,Operational,Active
CVS #5721,440 N. READING RD.,EPHRATA,PA,17522,"LANCASTER,PA",7177331818,Follows Pharmacy Hours of Operation,"440 N. READING RD.
EPHRATA, PA 17522
(40.19591, -76.17212)",POINT (-76.171536 40.195776),40.195776,-76.171536,,No,Pharmacy,Active
